epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,166.137,1.86373,1.29889,1.32504,0.58488,0.5742,0.59227,0.25032,2.01224,1.40274,1.36772,0.0011882,0.0011882,0.0011882
43,170.061,1.8356,1.33512,1.3442,0.5836,0.57867,0.59378,0.25696,2.03896,1.34626,1.39539,0.0011684,0.0011684,0.0011684
44,173.957,1.78674,1.30668,1.31508,0.57589,0.566,0.56806,0.23804,2.06838,1.35712,1.42854,0.0011486,0.0011486,0.0011486
45,177.852,1.76572,1.35034,1.34942,0.58124,0.56898,0.56897,0.22317,2.08235,1.40261,1.45224,0.0011288,0.0011288,0.0011288
46,181.753,1.78614,1.33656,1.37638,0.62138,0.58166,0.60542,0.22337,2.07509,1.42186,1.43978,0.001109,0.001109,0.001109
47,185.686,1.80574,1.31536,1.31711,0.61107,0.55854,0.58991,0.25109,1.97838,1.41823,1.38818,0.0010892,0.0010892,0.0010892
48,189.566,1.72554,1.28812,1.3174,0.54775,0.55257,0.54135,0.24202,1.96268,1.43246,1.37942,0.0010694,0.0010694,0.0010694
49,193.55,1.80364,1.30932,1.30881,0.54301,0.53077,0.5348,0.23265,2.02777,1.45163,1.41522,0.0010496,0.0010496,0.0010496
50,197.491,1.81193,1.28886,1.29513,0.57851,0.52573,0.54157,0.23118,2.07608,1.44789,1.44567,0.0010298,0.0010298,0.0010298
51,201.384,1.77643,1.32514,1.36564,0.62864,0.57793,0.6137,0.24073,2.00231,1.42505,1.41774,0.00101,0.00101,0.00101
52,205.27,1.85965,1.35154,1.37886,0.62469,0.58688,0.62276,0.24545,1.96967,1.38723,1.38994,0.0009902,0.0009902,0.0009902
53,209.164,1.78172,1.32595,1.34994,0.60027,0.59508,0.6176,0.2734,1.89531,1.32435,1.34802,0.0009704,0.0009704,0.0009704
54,213.054,1.74711,1.32341,1.32753,0.55913,0.5824,0.58448,0.26893,1.89636,1.32515,1.33698,0.0009506,0.0009506,0.0009506
55,216.94,1.75285,1.32989,1.31055,0.57134,0.58144,0.5874,0.2645,1.9375,1.34766,1.35311,0.0009308,0.0009308,0.0009308
56,220.858,1.79878,1.31765,1.32212,0.58613,0.5798,0.59412,0.2541,1.97458,1.36586,1.37543,0.000911,0.000911,0.000911
57,224.729,1.80992,1.31669,1.33568,0.6298,0.60925,0.63068,0.27002,1.96946,1.32085,1.37453,0.0008912,0.0008912,0.0008912
58,228.641,1.77685,1.25979,1.28582,0.67725,0.61894,0.67537,0.30179,1.9196,1.24864,1.35415,0.0008714,0.0008714,0.0008714
59,232.575,1.72842,1.27077,1.29095,0.66799,0.63464,0.67433,0.29014,1.93442,1.27198,1.36982,0.0008516,0.0008516,0.0008516
60,236.45,1.74495,1.29645,1.32422,0.67849,0.62004,0.66066,0.29082,1.93238,1.27839,1.35964,0.0008318,0.0008318,0.0008318
61,240.357,1.75451,1.2597,1.28998,0.66572,0.6085,0.65489,0.29767,1.92934,1.26854,1.34692,0.000812,0.000812,0.000812
62,244.261,1.72872,1.23407,1.28306,0.65592,0.60925,0.65469,0.29921,1.95394,1.269,1.3485,0.0007922,0.0007922,0.0007922
63,248.165,1.82186,1.26131,1.30851,0.63914,0.62192,0.64463,0.29029,1.98478,1.27698,1.35765,0.0007724,0.0007724,0.0007724
64,252.075,1.7948,1.28099,1.31983,0.61499,0.62192,0.63147,0.28676,1.97528,1.29009,1.35336,0.0007526,0.0007526,0.0007526
65,255.968,1.76266,1.26677,1.271,0.58258,0.60989,0.59858,0.28008,1.91993,1.31457,1.33542,0.0007328,0.0007328,0.0007328
66,259.855,1.7351,1.26234,1.28108,0.5754,0.59421,0.58894,0.2589,1.92654,1.36076,1.35306,0.000713,0.000713,0.000713
67,263.764,1.81322,1.27871,1.29786,0.63245,0.60436,0.63662,0.2399,2.07051,1.35438,1.43186,0.0006932,0.0006932,0.0006932
68,267.69,1.77207,1.25619,1.29749,0.63598,0.64579,0.66532,0.27409,1.99084,1.28208,1.39185,0.0006734,0.0006734,0.0006734
69,271.576,1.72985,1.26081,1.30224,0.64162,0.64802,0.66676,0.30455,1.90407,1.24952,1.34766,0.0006536,0.0006536,0.0006536
70,275.465,1.70258,1.28383,1.33008,0.63514,0.63236,0.6574,0.30775,1.88071,1.26722,1.32982,0.0006338,0.0006338,0.0006338
71,279.454,1.73821,1.27976,1.315,0.6162,0.59657,0.63244,0.29544,1.88471,1.31697,1.3306,0.000614,0.000614,0.000614
72,283.332,1.73594,1.27723,1.30963,0.59437,0.5921,0.61715,0.28913,1.87159,1.34406,1.327,0.0005942,0.0005942,0.0005942
73,287.254,1.7031,1.24813,1.27072,0.60161,0.60477,0.62852,0.29641,1.85126,1.33518,1.31957,0.0005744,0.0005744,0.0005744
74,291.176,1.70995,1.24728,1.28376,0.62269,0.60552,0.64501,0.306,1.83984,1.30556,1.31365,0.0005546,0.0005546,0.0005546
75,295.091,1.73942,1.24369,1.2641,0.65874,0.63912,0.67746,0.33682,1.81219,1.21222,1.29801,0.0005348,0.0005348,0.0005348
76,299.01,1.71763,1.25872,1.27145,0.66863,0.64101,0.68262,0.34093,1.81321,1.20864,1.29649,0.000515,0.000515,0.000515
77,302.914,1.74228,1.24644,1.28175,0.67548,0.6488,0.68401,0.33951,1.81946,1.20893,1.29775,0.0004952,0.0004952,0.0004952
78,306.801,1.76253,1.25831,1.29096,0.65958,0.64355,0.6802,0.32858,1.83716,1.23408,1.30517,0.0004754,0.0004754,0.0004754
79,310.69,1.71371,1.21243,1.26305,0.66578,0.63162,0.67361,0.31777,1.84828,1.25186,1.31387,0.0004556,0.0004556,0.0004556
80,314.582,1.72368,1.23797,1.28142,0.66097,0.6266,0.67218,0.30786,1.85593,1.26221,1.32088,0.0004358,0.0004358,0.0004358
81,318.487,1.66745,1.19784,1.25079,0.6666,0.64504,0.67813,0.31346,1.83363,1.25053,1.31199,0.000416,0.000416,0.000416
82,322.394,1.69866,1.23007,1.27009,0.68469,0.62864,0.68337,0.32789,1.80176,1.2135,1.30097,0.0003962,0.0003962,0.0003962
83,326.303,1.67365,1.17647,1.2596,0.6759,0.63918,0.68242,0.33896,1.77383,1.18772,1.28698,0.0003764,0.0003764,0.0003764
84,330.206,1.7051,1.18485,1.24564,0.67513,0.63982,0.68125,0.33787,1.77989,1.17688,1.28648,0.0003566,0.0003566,0.0003566
85,334.084,1.71798,1.23058,1.27317,0.65844,0.64579,0.67907,0.33481,1.78106,1.18575,1.28305,0.0003368,0.0003368,0.0003368
86,337.972,1.75936,1.2581,1.30409,0.66288,0.64653,0.6784,0.33118,1.77796,1.197,1.28092,0.000317,0.000317,0.000317
87,341.865,1.65962,1.23356,1.28181,0.65611,0.6428,0.6703,0.32449,1.77795,1.22107,1.28265,0.0002972,0.0002972,0.0002972
88,345.766,1.6619,1.20228,1.26494,0.64407,0.64057,0.66968,0.31901,1.78784,1.24417,1.28804,0.0002774,0.0002774,0.0002774
89,349.686,1.77841,1.2322,1.27405,0.66382,0.64789,0.67883,0.32563,1.7791,1.23458,1.28857,0.0002576,0.0002576,0.0002576
90,353.603,1.73148,1.20855,1.26453,0.67856,0.64206,0.68571,0.33636,1.76573,1.2177,1.28339,0.0002378,0.0002378,0.0002378
91,359.302,1.69179,1.39012,1.29174,0.66393,0.66965,0.6826,0.33668,1.7974,1.21035,1.2874,0.000218,0.000218,0.000218
92,363.176,1.83797,1.44852,1.36934,0.65739,0.66294,0.67423,0.32708,1.82066,1.23301,1.29258,0.0001982,0.0001982,0.0001982
93,367.089,1.65814,1.34534,1.27532,0.66035,0.66518,0.67495,0.3264,1.82626,1.2381,1.29582,0.0001784,0.0001784,0.0001784
94,370.98,1.80164,1.33203,1.31808,0.66314,0.65914,0.67698,0.32558,1.83234,1.24647,1.29923,0.0001586,0.0001586,0.0001586
95,374.81,1.62383,1.24281,1.26221,0.65934,0.65399,0.67296,0.32379,1.84205,1.2598,1.30363,0.0001388,0.0001388,0.0001388
96,378.615,1.64851,1.29543,1.28563,0.66613,0.65762,0.67407,0.31948,1.84891,1.26495,1.30813,0.000119,0.000119,0.000119
97,382.455,1.6322,1.25911,1.26236,0.66376,0.64131,0.67544,0.31679,1.85711,1.26069,1.31315,9.92e-05,9.92e-05,9.92e-05
98,386.291,1.65451,1.26864,1.25882,0.66103,0.64802,0.67342,0.31576,1.85571,1.26129,1.31078,7.94e-05,7.94e-05,7.94e-05
99,390.156,1.69106,1.27776,1.27827,0.66024,0.64774,0.67457,0.31616,1.85666,1.25015,1.31208,5.96e-05,5.96e-05,5.96e-05
100,394.006,1.66321,1.27727,1.30783,0.66279,0.64504,0.67177,0.32022,1.84941,1.24899,1.30577,3.98e-05,3.98e-05,3.98e-05
